filename,title,feature,role
./metadata.md,,,
./help/search-social-commerce/toc.md,,,User
help/search-social-commerce/home.md,What's new,,
help/search-social-commerce/help-about.md,About this guide,Search Introduction,
./help/search-social-commerce/introduction/about.md,"About Adobe Advertising Search, Social, & Commerce",Search Introduction,
./help/search-social-commerce/introduction/supported-inventory.md,Supported inventory,Search Introduction,
./help/search-social-commerce/introduction/integrations.md,Integration with Adobe Experience Cloud solutions and services,Search Introduction,
./help/search-social-commerce/getting-started/implemention-overview.md,"Overview of implementing Search, Social, & Commerce",Search Getting Started,
./help/search-social-commerce/getting-started/system-requirements.md,System requirements,Search Getting Started,
./help/search-social-commerce/getting-started/log-in.md,Log in,Search Getting Started,
./help/search-social-commerce/getting-started/user-interface.md,How the user interface is organized,Search Getting Started,
./help/search-social-commerce/getting-started/log-out.md,Log out,Search Getting Started,
./help/search-social-commerce/common-tasks/change-advertiser.md,View data for another advertiser,Search Common Tasks,
./help/search-social-commerce/common-tasks/settings-edit-within-row.md,Edit settings directly within a row,Search Common Tasks,
./help/search-social-commerce/common-tasks/data-views/data-views-about.md,About customizing data in campaign management views,"Search Common Tasks, Search Custom Data Views",
./help/search-social-commerce/common-tasks/data-views/custom-default-views-manage.md,Manage default and custom views,"Search Common Tasks, Search Custom Data Views",
./help/search-social-commerce/common-tasks/data-views/ad-hoc-settings/column-set-edit-column-heading.md,Edit the column set from the column heading menu,"Search Common Tasks, Search Custom Data Views",
./help/search-social-commerce/common-tasks/data-views/ad-hoc-settings/column-set-edit-sort-icon.md,Edit and sort the column set from the [!UICONTROL Custom Columns] icon,"Search Common Tasks, Search Custom Data Views",
./help/search-social-commerce/common-tasks/data-views/ad-hoc-settings/column-set-edit-lock-unlock.md,Lock and unlock a column configuration,"Search Common Tasks, Search Custom Data Views",
./help/search-social-commerce/common-tasks/data-views/ad-hoc-settings/column-sort.md,Re-sort a column,"Search Common Tasks, Search Custom Data Views",
./help/search-social-commerce/common-tasks/data-views/ad-hoc-settings/date-filter.md,Filter data by date range,"Search Common Tasks, Search Custom Data Views",
./help/search-social-commerce/common-tasks/data-views/ad-hoc-settings/filter-using-left-panel.md,Filter data using the left navigation panel,"Search Common Tasks, Search Custom Data Views",
./help/search-social-commerce/common-tasks/data-views/ad-hoc-settings/column-filter-apply-from-column-heading.md,Apply data filters from a column heading menu,"Search Common Tasks, Search Custom Data Views",
./help/search-social-commerce/common-tasks/data-views/ad-hoc-settings/column-filter-apply-from-toolbar.md,Apply data filters from the toolbar,"Search Common Tasks, Search Custom Data Views",
./help/search-social-commerce/common-tasks/data-views/ad-hoc-settings/column-filter-edit.md,Edit column filters,"Search Common Tasks, Search Custom Data Views",
./help/search-social-commerce/common-tasks/data-views/ad-hoc-settings/column-filter-remove.md,Remove a column filter,"Search Common Tasks, Search Custom Data Views",
./help/search-social-commerce/common-tasks/custom-metrics/custom-metric-about.md,About custom metrics,"Search Common Tasks, Search Custom Metrics",
./help/search-social-commerce/common-tasks/custom-metrics/custom-metric-create.md,Create a custom metric,"Search Common Tasks, Search Custom Metrics",
./help/search-social-commerce/common-tasks/custom-metrics/custom-metric-edit.md,Edit a custom metric,"Search Common Tasks, Search Custom Metrics",
./help/search-social-commerce/common-tasks/custom-metrics/custom-metric-delete.md,Delete a custom metric,"Search Common Tasks, Search Custom Metrics",
./help/search-social-commerce/common-tasks/custom-metrics/custom-metric-settings.md,Custom metric settings,"Search Common Tasks, Search Custom Metrics",
./help/search-social-commerce/common-tasks/navigation-editing-selection/multiple-rows-select.md,Select multiple rows,Search Common Tasks,
./help/search-social-commerce/common-tasks/navigation-editing-selection/calendar.md,Specify a date using the calendar,Search Common Tasks,
./help/search-social-commerce/common-tasks/navigation-editing-selection/trend-chard-show-hide.md,Show and hide a trend chart,Search Common Tasks,
./help/search-social-commerce/common-tasks/navigation-editing-selection/refresh.md,Select multiple rows,Search Common Tasks,
./help/search-social-commerce/common-tasks/navigation-editing-selection/download.md,Download data from a campaign management view,Search Common Tasks,
./help/search-social-commerce/common-tasks/navigation-editing-selection/download-delete-data.md,Delete a performance data report or bulksheet file from the [!UICONTROL Downloads] menu,Search Common Tasks,
./help/search-social-commerce/tracking/tracking-about.md,"About tracking for Search, Social, & Commerce",Search Tracking,
./help/search-social-commerce/tracking/click-tracking-set-up.md,Set up cookie-based click tracking,Search Tracking,
./help/search-social-commerce/tracking/click-tracking-ways-to-generate.md,When and how to generate click-tracking URLs by ad network and object,Search Tracking,
./help/search-social-commerce/tracking/formats-click-tracking-about.md,About click-tracking URL formats for the Adobe Advertising conversion tracking service,Search Tracking,
./help/search-social-commerce/tracking/formats-click-tracking-baidu.md,Click-tracking formats for [!DNL Baidu],Search Tracking,
./help/search-social-commerce/tracking/formats-click-tracking-google.md,Click-tracking formats for [!DNL Google Ads],Search Tracking,
./help/search-social-commerce/tracking/formats-click-tracking-microsoft.md,Click-tracking formats for [!DNL Microsoft Advertising],Search Tracking,
./help/search-social-commerce/tracking/formats-click-tracking-naver.md,Click-tracking formats for [!DNL Naver],Search Tracking,
./help/search-social-commerce/tracking/formats-click-tracking-yahoo-display-network.md,Click-tracking formats for [!DNL Yahoo! Display Network],Search Tracking,
./help/search-social-commerce/tracking/formats-click-tracking-yahoo-japan.md,Click-tracking formats for [!DNL Yahoo! Japan Ads],Search Tracking,
./help/search-social-commerce/tracking/formats-click-tracking-yandex.md,Click-tracking formats for [!DNL Yandex],Search Tracking,
./help/search-social-commerce/tracking/click-tracking-urls-optional-parameters.md,Optional tracking parameters for click-tracking URLs,Search Tracking,
./help/search-social-commerce/tracking/skwcid-tracking-parameter.md,The s_kwcid tracking parameter,Search Tracking,
./help/search-social-commerce/tracking/conversion-tracking-about.md,"Conversion tracking options for Search, Social, & Commerce",Search Tracking,
./help/search-social-commerce/tracking/conversion-tracking-advertising.md,About Adobe Advertising conversion-tracking tags,Search Tracking,
./help/search-social-commerce/tracking/format-conversion-tag-jsv3.md,Format of JavaScript conversion tracking tags version 3,Search Tracking,
./help/search-social-commerce/tracking/format-conversion-tag-jsv2.md,Format of JavaScript conversion tracking tags version 2,Search Tracking,
./help/search-social-commerce/tracking/format-conversion-tag-image.md,Format of image conversion tracking tags,Search Tracking,
./help/search-social-commerce/tracking/itp-conversion-mapping-tag.md,The Adobe Advertising conversion mapping tag,Search Tracking,
./help/search-social-commerce/tracking/faqs-conversion-page-view-tracking-tags.md,FAQs about Adobe Advertising conversion and page view tracking tags,Search Tracking,
./help/search-social-commerce/tracking/conversion-tracking-analytics.md,Adobe Analytics conversion tracking,Search Tracking,
./help/search-social-commerce/tracking/feed-efid.md,Conversion tracking using an EF ID feed,Search Tracking,
./help/search-social-commerce/tracking/feed-ef-id-data-requirements.md,Data requirements for data feeds using EF IDs,Search Tracking,
./help/search-social-commerce/tracking/feed-transaction-id.md,Conversion tracking using a transaction ID feed,Search Tracking,
./help/search-social-commerce/tracking/feed-transaction-id-data-requirements.md,Data requirements for data feeds using a transaction ID,Search Tracking,
./help/search-social-commerce/tracking/feed-file-requirements.md,File requirements for conversion feed files,Search Tracking,
./help/search-social-commerce/tracking/faqs-tracking.md,FAQs about tracking,Search Tracking,
./help/search-social-commerce/campaign-management/introduction/campaign-management-about.md,"About campaign management in Search, Social, & Commerce",Search Campaign Management,
./help/search-social-commerce/campaign-management/introduction/campaign-implemention-overview.md,Overview of implementing ad network accounts and campaigns,Search Campaign Management,
./help/search-social-commerce/campaign-management/introduction/monitor-performance-campaigns.md,Monitor and manage the performance of your campaigns,Search Campaign Management,
./help/search-social-commerce/campaign-management/introduction/google-conversion-data.md,'[!DNL Google Ads] conversion data',Search Campaign Management,
./help/search-social-commerce/campaign-management/introduction/microsoft-conversion-data.md,'[!DNL Microsoft Advertising] conversion data',Search Campaign Management,
./help/search-social-commerce/campaign-management/accounts/ad-network-account-about.md,About ad network accounts,Search Campaign Management,
./help/search-social-commerce/campaign-management/accounts/ad-network-account-manage.md,Manage ad network accounts,Search Campaign Management,
./help/search-social-commerce/campaign-management/accounts/update-skwcid-google.md,Update the s kwcid tracking code for a [!DNL Google Ads] account,Search Campaign Management,
./help/search-social-commerce/campaign-management/accounts/merchant-account-manage.md,Manage merchant accounts,Search Campaign Management,
./help/search-social-commerce/campaign-management/naver-tracking-only-account-implement.md,Implement [!DNL Naver] tracking-only accounts,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/campaign-management-options.md,Options for managing ad network campaigns,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/copy-paste.md,Create and edit campaign data in bulk using copy and paste,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/campaign-manage.md,Manage campaigns,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/campaign-settings-baidu.md,'[!DNL Baidu] campaign settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/campaign-settings-google.md,'[!DNL Google Ads] campaign settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/campaign-settings-microsoft.md,'[!DNL Microsoft Advertising] campaign settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/campaign-settings-yahoo-japan.md,'[!DNL Yahoo! Japan Ads] campaign settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/campaign-settings-yandex.md,'[!DNL Yandex] campaign settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-group-manage.md,Manage ad groups,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-group-settings-baidu.md,'[!DNL Baidu] ad group settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-group-settings-google.md,'[!DNL Google Ads] ad group settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-group-settings-microsoft.md,'[!DNL Microsoft Advertising] ad group settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-group-settings-yahoo-japan.md,'[!DNL Yahoo! Japan Ads] ad group settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-group-settings-yandex.md,'[!DNL Yandex] ad group settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/keyword-about.md,About keywords,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/keyword-manage.md,Manage biddable keywords,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/keyword-negative-create.md,Create negative keywords,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/keyword-status-edit.md,Change the status of keywords and negative keywords,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/keyword-settings-baidu.md,'[!DNL Baidu] keyword settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/keyword-settings-google.md,'[!DNL Google Ads] keyword settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/keyword-settings-microsoft.md,'[!DNL Microsoft Advertising] keyword settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/keyword-settings-yahoo-japan.md,'[!DNL Yahoo! Japan Ads] keyword settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/keyword-settings-yandex.md,'[!DNL Yandex] keyword settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-about.md,Manage ads,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-manage.md,Manage ads,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-settings-baidu-text.md,'[!DNL Baidu] text ad settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-settings-google-call.md,'[!DNL Google Ads] call-only ad settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-settings-google-dsa.md,'[!DNL Google Ads] expanded dynamic search ad settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-settings-google-rsa.md,'[!DNL Google Ads] responsive search ad settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-settings-microsoft-dsa.md,'[!DNL Microsoft® Advertising] expanded dynamic search ad settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-settings-microsoft-multimedia.md,'[!DNL Microsoft® Advertising] multimedia ad settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-settings-microsoft-product.md,'[!DNL Microsoft® Advertising] product ad settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-settings-microsoft-responsive.md,'[!DNL Microsoft® Advertising] responsive ad settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-settings-microsoft-rsa.md,'[!DNL Microsoft® Advertising] responsive search ad settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-settings-yandex-text.md,'[!DNL Yandex] text ad settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/product-group-about.md,About shopping product groups,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/product-group-manage.md,Manage shopping product groups,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/product-group-settings-google.md,'[!DNL Google Ads] product group settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/product-group-settings-microsoft.md,'[!DNL Microsoft® Advertising] product group settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/shopping-campaign-product-filters.md,Shopping campaign product filters,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/placement-about.md,About [!DNL Google Ads] placements,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/placement-manage.md,Manage [!DNL Google Ads] placements,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/placement-negative-create.md,Create negative placements,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/placement-status-edit.md,Change the status of placements and negative placements,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/dynamic-search-target-about.md,About [!DNL Google Ads] dynamic search targets,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/dynamic-search-target-manage.md,Manage [!DNL Google Ads] dynamic search targets,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/audience-about.md,About audiences,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/google-audience-from-adobe-audience.md,Create [!DNL Google Ads] customer match audiences from [!DNL Adobe] audiences,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/google-audience-from-campaign-email-list.md,Create a [!DNL Google Ads] customer match audience from an Adobe Campaign email list,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/audience-from-customer-data-list.md,Manage customer match audiences using customer data lists,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/audience-dynamic-remarketing-manage.md,Manage [!DNL Microsoft Advertising] dynamic remarketing audiences,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/audience-targets-manage.md,Manage audience targets for campaigns and ad groups,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/audience-exclusions-manage.md,Manage audience exclusions for campaigns and ad groups,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/callout-extension-about.md,About [!DNL Google Ads] callout extensions,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/callout-extension-manage.md,Manage [!DNL Google Ads] callout extensions,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/callout-extension-associate.md,Associate [!DNL Google Ads] shared callout extensions with campaigns or ad groups,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/location-extension-manage.md,Manage [!DNL Google Ads] location extensions,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/sitelink-extension-about.md,About sitelink extensions,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/sitelink-extension-manage.md,Manage shared sitelinks,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/sitelink-extension-associate.md,"Associate shared sitelinks with accounts, campaigns, and ad groups",Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-extension-association-delete.md,Delete ad extension associations with campaigns and ad groups,Search Campaign Management,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-about.md,About managing campaign data using bulksheets,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-ftp-account.md,Set up an FTP account for uploading bulksheets,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-download.md,Download/Create a bulksheet file,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-validate-landing-pages.md,Validate landing pages in bulksheet files,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-export.md,Export a generated or uploaded bulksheet file,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-upload.md,Upload a bulksheet or corrected error file,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-post.md,Post bulksheets or corrected error files,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-errors.md,Bulksheet errors,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-delete.md,Delete uploaded bulksheets and error files,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-stop-job.md,Stop a bulksheet job in progress,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-data-formats/bulksheet-file-formats.md,Supported bulksheet file formats,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-data-formats/bulksheet-operations.md,Operations you can perform in bulksheets,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-data-formats/bulksheet-data-baidu.md,Required bulksheet data for [!DNL Baidu] accounts,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-data-formats/bulksheet-data-google.md,Required bulksheet data for [!DNL Google Ads] accounts,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-data-formats/bulksheet-data-microsoft.md,Required bulksheet data for [!DNL Microsoft Advertising] accounts,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-data-formats/bulksheet-data-naver.md,Required bulksheet data for [!DNL Naver] accounts,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-data-formats/bulksheet-data-yahoo-display-network.md,Bulksheet data for [!DNL Yahoo! Display Network] accounts,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-data-formats/bulksheet-data-yahoo-japan.md,Bulksheet data for [!DNL Yahoo! Japan] accounts,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-data-formats/bulksheet-data-yandex.md,Required bulksheet data for [!DNL Yandex] accounts,Search Bulksheets,
./help/search-social-commerce/campaign-management/inventory-feeds/inventory-feeds-about.md,About automating ad management using inventory feeds,Search Inventory Feeds,
./help/search-social-commerce/campaign-management/inventory-feeds/when-are-components-created-deleted.md,When are account components created or deleted by inventory feeds?,Search Inventory Feeds,
./help/search-social-commerce/campaign-management/inventory-feeds/feed-settings-manage.md,Configure feed data settings,Search Inventory Feeds,
./help/search-social-commerce/campaign-management/inventory-feeds/feed-files-manage.md,Manage inventory data feed files,Search Inventory Feeds,
